SchemaName,TableName,TableDescription,ColumnOrder,ColumnName,DataType,MaxLength,precision,scale,IsNullable,ColumnDescription
dbo,SBIENCOMPTABLE,,1,oid,TOID,32,0,0,0,
dbo,SBIENCOMPTABLE,,2,idOTP,int,4,10,0,0,
dbo,SBIENCOMPTABLE,,3,data,nvarchar,-1,0,0,1,
dbo,SBIENCOMPTABLE,,4,data3,nvarchar,256,0,0,1,
dbo,SBIENCOMPTABLE,,5,data6,nvarchar,64,0,0,1,
dbo,SDB_ARTICLE,,1,id,nvarchar,100,0,0,0,
dbo,SDB_ARTICLE,,2,code,nvarchar,200,0,0,0,
dbo,SDB_ARTICLE,,3,libelle,nvarchar,510,0,0,1,
dbo,SDB_ARTICLE,,4,prix_ht,decimal,9,18,6,1,
dbo,SDB_ARTICLE,,5,taux_tva,decimal,9,18,6,1,
dbo,SDB_ARTICLE,,6,unite,nvarchar,100,0,0,1,
dbo,SDB_ARTICLE,,7,reference,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE,,8,en_activite,bit,1,1,0,0,
dbo,SDB_ARTICLE,,9,created_at,nvarchar,100,0,0,1,
dbo,SDB_ARTICLE,,10,updated_at,nvarchar,100,0,0,1,
dbo,SDB_ARTICLE,,11,taux_bic,decimal,9,18,6,1,
dbo,SDB_ARTICLE,,12,revenue_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE,,13,expense_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE,,14,vat_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE,,15,bic_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE,,16,tax_exempt,bit,1,1,0,0,
dbo,SDB_ARTICLE,,17,custom_tax_rules,nvarchar,-1,0,0,1,
dbo,SDB_ARTICLE,,18,description,nvarchar,-1,0,0,1,
dbo,SDB_ARTICLE,,19,currency,nvarchar,20,0,0,1,
dbo,SDB_ARTICLE,,20,category,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE_META,,1,article_key,nvarchar,200,0,0,0,
dbo,SDB_ARTICLE_META,,2,revenue_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE_META,,3,expense_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE_META,,4,vat_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE_META,,5,bic_account,nvarchar,200,0,0,1,
dbo,SDB_ARTICLE_META,,6,taux_tva,float,8,53,0,0,
dbo,SDB_ARTICLE_META,,7,taux_bic,float,8,53,0,0,
dbo,SDB_ARTICLE_META,,8,tax_exempt,bit,1,1,0,0,
dbo,SDB_ARTICLE_META,,9,custom_tax_rules,nvarchar,-1,0,0,1,
dbo,SDB_ARTICLE_META,,10,updated_at,datetime,8,23,3,0,
dbo,SDB_COMPTA_ENTRY_LOG,,1,id,nvarchar,100,0,0,0,
dbo,SDB_COMPTA_ENTRY_LOG,,2,piece_id,nvarchar,100,0,0,0,
dbo,SDB_COMPTA_ENTRY_LOG,,3,entry_order,int,4,10,0,0,
dbo,SDB_COMPTA_ENTRY_LOG,,4,entry_role,nvarchar,100,0,0,0,
dbo,SDB_COMPTA_ENTRY_LOG,,5,amount,float,8,53,0,0,
dbo,SDB_COMPTA_ENTRY_LOG,,6,created_at,datetime,8,23,3,0,
dbo,SDB_COUNTER,,1,counter_key,nvarchar,200,0,0,0,
dbo,SDB_COUNTER,,2,next_value,bigint,8,19,0,0,
dbo,SDB_COUNTER,,3,updated_at,datetime,8,23,3,0,
dbo,SDB_PIECE_LINE_META,,1,line_key,nvarchar,200,0,0,0,
dbo,SDB_PIECE_LINE_META,,2,piece_id,nvarchar,100,0,0,0,
dbo,SDB_PIECE_LINE_META,,3,ordre,int,4,10,0,0,
dbo,SDB_PIECE_LINE_META,,4,article_code,nvarchar,200,0,0,1,
dbo,SDB_PIECE_LINE_META,,5,unite,nvarchar,100,0,0,1,
dbo,SDB_PIECE_LINE_META,,6,updated_at,datetime,8,23,3,0,
dbo,SDB_PIECE_LINE_META,,7,remise_type,nvarchar,40,0,0,0,
dbo,SDB_PIECE_LINE_META,,8,remise_valeur,float,8,53,0,0,
dbo,SDB_PIECE_LINE_META,,9,taux_tva,float,8,53,0,0,
dbo,SDB_PIECE_LINE_META,,10,montant_tva,float,8,53,0,0,
dbo,SDB_PIECE_LINE_META,,11,taux_bic,float,8,53,0,0,
dbo,SDB_PIECE_LINE_META,,12,montant_bic,float,8,53,0,0,
dbo,SDB_PIECE_LINE_META,,13,tax_exempt,bit,1,1,0,0,
dbo,SDB_PIECE_LINE_META,,14,revenue_account,nvarchar,200,0,0,1,
dbo,SDB_PIECE_LINE_META,,15,expense_account,nvarchar,200,0,0,1,
dbo,SDB_PIECE_LINE_META,,16,vat_account,nvarchar,200,0,0,1,
dbo,SDB_PIECE_LINE_META,,17,bic_account,nvarchar,200,0,0,1,
dbo,SDB_PIECE_LINE_META,,18,custom_tax_rules,nvarchar,-1,0,0,1,
dbo,SDB_PIECE_META,,1,piece_id,nvarchar,100,0,0,0,
dbo,SDB_PIECE_META,,2,date_echeance,date,3,10,0,1,
dbo,SDB_PIECE_META,,3,tiers_code,nvarchar,200,0,0,1,
dbo,SDB_PIECE_META,,4,tiers_nom,nvarchar,510,0,0,1,
dbo,SDB_PIECE_META,,5,tiers_adresse,nvarchar,510,0,0,1,
dbo,SDB_PIECE_META,,6,tiers_cp,nvarchar,100,0,0,1,
dbo,SDB_PIECE_META,,7,tiers_ville,nvarchar,200,0,0,1,
dbo,SDB_PIECE_META,,8,tiers_pays,nvarchar,200,0,0,1,
dbo,SDB_PIECE_META,,9,tiers_siret,nvarchar,200,0,0,1,
dbo,SDB_PIECE_META,,10,tiers_tva,nvarchar,200,0,0,1,
dbo,SDB_PIECE_META,,11,notes,nvarchar,-1,0,0,1,
dbo,SDB_PIECE_META,,12,conditions,nvarchar,-1,0,0,1,
dbo,SDB_PIECE_META,,13,remise_globale,float,8,53,0,0,
dbo,SDB_PIECE_META,,14,is_supplier,bit,1,1,0,0,
dbo,SDB_PIECE_META,,15,updated_at,datetime,8,23,3,0,
dbo,SDB_PIECE_META,,16,remise_globale_type,nvarchar,40,0,0,0,
dbo,SDB_PIECE_META,,17,remise_globale_valeur,float,8,53,0,0,
dbo,SDB_PIECE_META,,18,total_bic,float,8,53,0,0,
dbo,SDB_PIECE_META,,19,total_ht,float,8,53,0,0,
dbo,SDB_PIECE_META,,20,total_tva,float,8,53,0,0,
dbo,SDB_PIECE_META,,21,total_ttc,float,8,53,0,0,
dbo,SDB_PIECE_STATUS,,1,piece_id,nvarchar,100,0,0,0,
dbo,SDB_PIECE_STATUS,,2,statut,nvarchar,100,0,0,0,
dbo,SDB_PIECE_STATUS,,3,updated_at,datetime,8,23,3,0,
dbo,SDB_PIECE_STATUS,,4,updated_by,nvarchar,200,0,0,1,
dbo,SDB_PIECE_STATUS_HISTORY,,1,id,nvarchar,100,0,0,0,
dbo,SDB_PIECE_STATUS_HISTORY,,2,piece_id,nvarchar,100,0,0,0,
dbo,SDB_PIECE_STATUS_HISTORY,,3,from_statut,nvarchar,100,0,0,1,
dbo,SDB_PIECE_STATUS_HISTORY,,4,to_statut,nvarchar,100,0,0,0,
dbo,SDB_PIECE_STATUS_HISTORY,,5,updated_at,datetime,8,23,3,0,
dbo,SDB_PIECE_STATUS_HISTORY,,6,updated_by,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,1,id,nvarchar,100,0,0,0,
dbo,SDB_TIERS,,2,code,nvarchar,200,0,0,0,
dbo,SDB_TIERS,,3,nom,nvarchar,510,0,0,1,
dbo,SDB_TIERS,,4,adresse,nvarchar,510,0,0,1,
dbo,SDB_TIERS,,5,cp,nvarchar,100,0,0,1,
dbo,SDB_TIERS,,6,ville,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,7,pays,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,8,siret,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,9,email,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,10,telephone,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,11,tva_intra,nvarchar,200,0,0,1,
dbo,SDB_TIERS,,12,type_tiers,nvarchar,100,0,0,0,
dbo,SDB_TIERS,,13,created_at,nvarchar,100,0,0,1,
dbo,SDB_TIERS,,14,updated_at,nvarchar,100,0,0,1,
dbo,SECHEANCE,,1,oid,TOID,32,0,0,0,
dbo,SECHEANCE,,2,idOTP,int,4,10,0,0,
dbo,SECHEANCE,,3,data,nvarchar,-1,0,0,1,
dbo,SECHEANCE,,4,data1,nvarchar,256,0,0,1,
dbo,SECHEANCE,,5,oid1,TOID,32,0,0,1,
dbo,SECHEANCE,,6,data2,nvarchar,256,0,0,1,
dbo,SECHEANCE,,7,oid2,TOID,32,0,0,1,
dbo,SECHEANCE,,8,data3,nvarchar,256,0,0,1,
dbo,SECHEANCE,,9,data4,nvarchar,6,0,0,1,
dbo,SECHEANCE,,10,oid4,TOID,32,0,0,1,
dbo,SECHEANCE,,11,data5,nvarchar,256,0,0,1,
dbo,SECHEANCE,,12,data6,nvarchar,256,0,0,1,
dbo,SECHEANCE,,13,oid6,TOID,32,0,0,1,
dbo,SECHEANCE,,14,data7,nvarchar,256,0,0,1,
dbo,SECHEANCE,,15,data8,datetime,8,23,3,1,
dbo,SECHEANCE,,16,oid8,TOID,32,0,0,1,
dbo,SECHEANCE,,17,data9,money,8,19,4,1,
dbo,SECHEANCE,,18,oid9,TOID,32,0,0,1,
dbo,SECHEANCE,,19,data10,money,8,19,4,1,
dbo,SECHEANCE,,20,oid10,TOID,32,0,0,1,
dbo,SECHEANCE,,21,data11,nvarchar,256,0,0,1,
dbo,SECHEANCE,,22,oid11,TOID,32,0,0,1,
dbo,SECHEANCE,,23,data12,nvarchar,256,0,0,1,
dbo,SECHEANCE,,24,oid12,TOID,32,0,0,1,
dbo,SECHEANCE,,25,data13,nvarchar,256,0,0,1,
dbo,SECHEANCE,,26,data14,nvarchar,510,0,0,1,
dbo,SECHEANCE,,27,data15,nvarchar,256,0,0,1,
dbo,SECHEANCE,,28,data16,nvarchar,510,0,0,1,
dbo,SECHEANCE,,29,oid16,TOID,32,0,0,1,
dbo,SECRITURE,,1,oid,TOID,32,0,0,0,
dbo,SECRITURE,,2,idOTP,int,4,10,0,0,
dbo,SECRITURE,,3,data,nvarchar,-1,0,0,1,
dbo,SECRITURE,,4,data1,nvarchar,256,0,0,1,
dbo,SECRITURE,,5,oid1,TOID,32,0,0,1,
dbo,SECRITURE,,6,data2,nvarchar,256,0,0,1,
dbo,SECRITURE,,7,oid2,TOID,32,0,0,1,
dbo,SECRITURE,,8,data3,nvarchar,256,0,0,1,
dbo,SECRITURE,,9,data4,nvarchar,6,0,0,1,
dbo,SECRITURE,,10,oid4,TOID,32,0,0,1,
dbo,SECRITURE,,11,data5,nvarchar,256,0,0,1,
dbo,SECRITURE,,12,data6,nvarchar,256,0,0,1,
dbo,SECRITURE,,13,oid6,TOID,32,0,0,1,
dbo,SECRITURE,,14,data7,nvarchar,256,0,0,1,
dbo,SECRITURE,,15,data8,datetime,8,23,3,1,
dbo,SECRITURE,,16,data9,money,8,19,4,1,
dbo,SECRITURE,,17,data10,money,8,19,4,1,
dbo,SECRITURE,,18,data11,nvarchar,256,0,0,1,
dbo,SECRITURE,,19,oid11,TOID,32,0,0,1,
dbo,SECRITURE,,20,data12,nvarchar,256,0,0,1,
dbo,SECRITURE,,21,oid12,TOID,32,0,0,1,
dbo,SECRITURE,,22,data13,nvarchar,256,0,0,1,
dbo,SECRITURE,,23,data14,nvarchar,510,0,0,1,
dbo,SECRITURE,,24,data15,nvarchar,256,0,0,1,
dbo,SECRITURE,,25,data16,nvarchar,510,0,0,1,
dbo,SECRITURE,,26,oid16,TOID,32,0,0,1,
dbo,SECRITUREBANCAIRE,,1,oid,TOID,32,0,0,0,
dbo,SECRITUREBANCAIRE,,2,idOTP,int,4,10,0,0,
